Lambda,Epoch,Cls_Loss,Transfer_Loss,Total_Loss,Accuracy
0.0,0,3.4289673268795013,0.16444281737009683,3.4289673268795013,"tensor(0.1396, device='cuda:0', dtype=torch.float64)"
0.0,1,3.3928658266862235,0.16196070611476898,3.3928658266862235,"tensor(0.1208, device='cuda:0', dtype=torch.float64)"
0.0,2,3.3591671685377755,0.16366093854109445,3.3591671685377755,"tensor(0.1824, device='cuda:0', dtype=torch.float64)"
0.0,3,3.3176134129365287,0.1642499417066574,3.3176134129365287,"tensor(0.1937, device='cuda:0', dtype=torch.float64)"
0.0,4,3.2749322056770325,0.1632814904054006,3.2749322056770325,"tensor(0.2377, device='cuda:0', dtype=torch.float64)"
0.0,5,3.2232069075107574,0.1629661669333776,3.2232069075107574,"tensor(0.3082, device='cuda:0', dtype=torch.float64)"
0.0,6,3.1685241361459098,0.1621749003728231,3.1685241361459098,"tensor(0.3233, device='cuda:0', dtype=torch.float64)"
0.0,7,3.0961519380410514,0.1626454840103785,3.0961519380410514,"tensor(0.4025, device='cuda:0', dtype=torch.float64)"
0.0,8,3.0235403378804526,0.16335311035315195,3.0235403378804526,"tensor(0.4226, device='cuda:0', dtype=torch.float64)"
0.0,9,2.920779138803482,0.16251251101493835,2.920779138803482,"tensor(0.5270, device='cuda:0', dtype=torch.float64)"
0.0,10,2.8279444773991904,0.163652037580808,2.8279444773991904,"tensor(0.5434, device='cuda:0', dtype=torch.float64)"
0.0,11,2.705665091673533,0.16401115556557974,2.705665091673533,"tensor(0.5308, device='cuda:0', dtype=torch.float64)"
0.0,12,2.5705086092154183,0.16343299547831217,2.5705086092154183,"tensor(0.5358, device='cuda:0', dtype=torch.float64)"
0.0,13,2.5064572294553122,0.1636760582526525,2.5064572294553122,"tensor(0.6239, device='cuda:0', dtype=torch.float64)"
0.0,14,2.3485265374183655,0.16258659958839417,2.3485265374183655,"tensor(0.5849, device='cuda:0', dtype=torch.float64)"
0.0,15,2.2228070398171744,0.16549327472845712,2.2228070398171744,"tensor(0.5610, device='cuda:0', dtype=torch.float64)"
0.0,16,2.1499021102984748,0.16257852812608084,2.1499021102984748,"tensor(0.6252, device='cuda:0', dtype=torch.float64)"
0.0,17,1.9985046486059825,0.16311189532279968,1.9985046486059825,"tensor(0.6403, device='cuda:0', dtype=torch.float64)"
0.0,18,1.919166733821233,0.16354983548323312,1.919166733821233,"tensor(0.6767, device='cuda:0', dtype=torch.float64)"
0.0,19,1.7858904401461284,0.16454981764157614,1.7858904401461284,"tensor(0.6541, device='cuda:0', dtype=torch.float64)"
0.0,20,1.6805199881394703,0.163740004102389,1.6805199881394703,"tensor(0.6629, device='cuda:0', dtype=torch.float64)"
0.0,21,1.6297353158394496,0.16391553481419882,1.6297353158394496,"tensor(0.6830, device='cuda:0', dtype=torch.float64)"
0.0,22,1.5741801311572392,0.16433959702650705,1.5741801311572392,"tensor(0.6780, device='cuda:0', dtype=torch.float64)"
0.0,23,1.4308546086152394,0.16310968498388925,1.4308546086152394,"tensor(0.6830, device='cuda:0', dtype=torch.float64)"
0.0,24,1.4849139054616292,0.16286746660868326,1.4849139054616292,"tensor(0.6868, device='cuda:0', dtype=torch.float64)"
0.0,25,1.320420113702615,0.16525382796923319,1.320420113702615,"tensor(0.7208, device='cuda:0', dtype=torch.float64)"
0.0,26,1.3384728878736496,0.16229692101478577,1.3384728878736496,"tensor(0.6792, device='cuda:0', dtype=torch.float64)"
0.0,27,1.331101117034753,0.16285321613152823,1.331101117034753,"tensor(0.6906, device='cuda:0', dtype=torch.float64)"
0.0,28,1.2297632272044818,0.16442461808522543,1.2297632272044818,"tensor(0.6830, device='cuda:0', dtype=torch.float64)"
0.0,29,1.2703789894779522,0.16346335411071777,1.2703789894779522,"tensor(0.6994, device='cuda:0', dtype=torch.float64)"
0.0,30,1.1515232250094414,0.1639607697725296,1.1515232250094414,"tensor(0.7082, device='cuda:0', dtype=torch.float64)"
0.0,31,1.1330343609054883,0.1634176423152288,1.1330343609054883,"tensor(0.6994, device='cuda:0', dtype=torch.float64)"
0.0,32,1.1942224601904552,0.16344267626603445,1.1942224601904552,"tensor(0.7107, device='cuda:0', dtype=torch.float64)"
0.0,33,1.1809095690647762,0.16324744125207266,1.1809095690647762,"tensor(0.7019, device='cuda:0', dtype=torch.float64)"
0.0,34,1.0860437403122585,0.16418509682019553,1.0860437403122585,"tensor(0.7208, device='cuda:0', dtype=torch.float64)"
0.0,35,1.0430258462826412,0.16367807487646738,1.0430258462826412,"tensor(0.6981, device='cuda:0', dtype=torch.float64)"
0.0,36,1.0633641903599103,0.16230481366316477,1.0633641903599103,"tensor(0.6918, device='cuda:0', dtype=torch.float64)"
0.0,37,1.0580866162975628,0.1640657832225164,1.0580866162975628,"tensor(0.7145, device='cuda:0', dtype=torch.float64)"
0.0,38,1.0249308943748474,0.16347811122735342,1.0249308943748474,"tensor(0.7258, device='cuda:0', dtype=torch.float64)"
0.0,39,1.0878748099009197,0.1630362570285797,1.0878748099009197,"tensor(0.7346, device='cuda:0', dtype=torch.float64)"
0.0,40,0.9805536245306333,0.16513314843177795,0.9805536245306333,"tensor(0.7145, device='cuda:0', dtype=torch.float64)"
0.0,41,1.0005016177892685,0.16211307048797607,1.0005016177892685,"tensor(0.7333, device='cuda:0', dtype=torch.float64)"
0.0,42,0.9745490575830141,0.16363673408826193,0.9745490575830141,"tensor(0.7119, device='cuda:0', dtype=torch.float64)"
0.0,43,0.9665745596090952,0.16201079885164896,0.9665745596090952,"tensor(0.7182, device='cuda:0', dtype=torch.float64)"
