Lambda,Epoch,Cls_Loss,Transfer_Loss,Total_Loss,Accuracy
0.0,0,3.4380341529846192,0.1843696435292562,3.4380341529846192,"tensor(0.0241, device='cuda:0', dtype=torch.float64)"
0.0,1,3.432582171758016,0.17370899518330893,3.432582171758016,"tensor(0.0622, device='cuda:0', dtype=torch.float64)"
0.0,2,3.4067590395609537,0.17217818895975748,3.4067590395609537,"tensor(0.0181, device='cuda:0', dtype=torch.float64)"
0.0,3,3.4230534553527834,0.16348775227864584,3.4230534553527834,"tensor(0.0462, device='cuda:0', dtype=torch.float64)"
0.0,4,3.397941557566325,0.16804011662801108,3.397941557566325,"tensor(0.0522, device='cuda:0', dtype=torch.float64)"
0.0,5,3.394782781600952,0.16420758565266927,3.394782781600952,"tensor(0.0241, device='cuda:0', dtype=torch.float64)"
0.0,6,3.4000526428222657,0.16625754038492838,3.4000526428222657,"tensor(0.0201, device='cuda:0', dtype=torch.float64)"
0.0,7,3.3957356929779055,0.17217041651407877,3.3957356929779055,"tensor(0.0462, device='cuda:0', dtype=torch.float64)"
0.0,8,3.380372969309489,0.17259798049926758,3.380372969309489,"tensor(0.0361, device='cuda:0', dtype=torch.float64)"
0.0,9,3.378148587544759,0.18239083290100097,3.378148587544759,"tensor(0.0361, device='cuda:0', dtype=torch.float64)"
0.0,10,3.381615575154622,0.16895205179850262,3.381615575154622,"tensor(0.0361, device='cuda:0', dtype=torch.float64)"
0.0,11,3.3774556001027425,0.1627516269683838,3.3774556001027425,"tensor(0.0161, device='cuda:0', dtype=torch.float64)"
0.0,12,3.38684131304423,0.1644543965657552,3.38684131304423,"tensor(0.0161, device='cuda:0', dtype=torch.float64)"
0.0,13,3.3594462235768634,0.1656587282816569,3.3594462235768634,"tensor(0.0562, device='cuda:0', dtype=torch.float64)"
0.0,14,3.3531320571899412,0.16110291481018066,3.3531320571899412,"tensor(0.0382, device='cuda:0', dtype=torch.float64)"
0.0,15,3.418286593755086,0.1729918638865153,3.418286593755086,"tensor(0.0402, device='cuda:0', dtype=torch.float64)"
0.0,16,3.411700550715129,0.16294848124186198,3.411700550715129,"tensor(0.0341, device='cuda:0', dtype=torch.float64)"
0.0,17,3.3555243810017905,0.165497350692749,3.3555243810017905,"tensor(0.0643, device='cuda:0', dtype=torch.float64)"
0.0,18,3.363650321960449,0.1522189458211263,3.363650321960449,"tensor(0.0582, device='cuda:0', dtype=torch.float64)"
0.0,19,3.365179665883382,0.15935297012329103,3.365179665883382,"tensor(0.0361, device='cuda:0', dtype=torch.float64)"
0.0,20,3.3806130568186443,0.1611200968424479,3.3806130568186443,"tensor(0.0462, device='cuda:0', dtype=torch.float64)"
0.0,21,3.371083958943685,0.1600712776184082,3.371083958943685,"tensor(0.0422, device='cuda:0', dtype=torch.float64)"
0.0,22,3.357256603240967,0.15952763557434083,3.357256603240967,"tensor(0.0361, device='cuda:0', dtype=torch.float64)"
0.0,23,3.3732444604237872,0.16599745750427247,3.3732444604237872,"tensor(0.0341, device='cuda:0', dtype=torch.float64)"
0.0,24,3.3807085514068604,0.15244903564453124,3.3807085514068604,"tensor(0.0402, device='cuda:0', dtype=torch.float64)"
0.0,25,3.3111801624298094,0.1569564660390218,3.3111801624298094,"tensor(0.0361, device='cuda:0', dtype=torch.float64)"
0.0,26,3.3537625153859456,0.15237601598103842,3.3537625153859456,"tensor(0.0382, device='cuda:0', dtype=torch.float64)"
0.0,27,3.352689822514852,0.15557349522908528,3.352689822514852,"tensor(0.0281, device='cuda:0', dtype=torch.float64)"
0.0,28,3.3581339677174884,0.15650026003519693,3.3581339677174884,"tensor(0.0341, device='cuda:0', dtype=torch.float64)"
0.0,29,3.3399500528971355,0.15523411432902018,3.3399500528971355,"tensor(0.0341, device='cuda:0', dtype=torch.float64)"
0.0,30,3.3618862787882486,0.15080445607503254,3.3618862787882486,"tensor(0.0382, device='cuda:0', dtype=torch.float64)"
0.0,31,3.335455083847046,0.15448732376098634,3.335455083847046,"tensor(0.0201, device='cuda:0', dtype=torch.float64)"
0.0,32,3.3237231095631916,0.15898709297180175,3.3237231095631916,"tensor(0.0382, device='cuda:0', dtype=torch.float64)"
0.0,33,3.333960199356079,0.15985263188680013,3.333960199356079,"tensor(0.0261, device='cuda:0', dtype=torch.float64)"
0.0,34,3.3280009110768636,0.1680721124013265,3.3280009110768636,"tensor(0.0341, device='cuda:0', dtype=torch.float64)"
0.0,35,3.306202602386475,0.15935420989990234,3.306202602386475,"tensor(0.0341, device='cuda:0', dtype=torch.float64)"
0.0,36,3.3558924198150635,0.16900205612182617,3.3558924198150635,"tensor(0.0341, device='cuda:0', dtype=torch.float64)"
0.0,37,3.3331809361775715,0.1543789227803548,3.3331809361775715,"tensor(0.0361, device='cuda:0', dtype=torch.float64)"
